# feature-min-max-scale price 
# feature-binarize parking 
# feature-fill stories 2 
price,0,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,parking,prefarea,furnishingstatus
0.9999999999999999,7420,4,2,2,yes,no,no,no,1.0,yes,furnished
0.9090909090909091,8960,4,4,2,yes,no,no,no,1.0,no,furnished
0.9090909090909091,9960,3,2,2,yes,no,yes,no,1.0,yes,semi-furnished
0.9060606060606061,7500,4,2,2,yes,no,yes,no,1.0,yes,furnished
0.8363636363636363,7420,4,1,2,yes,yes,yes,no,1.0,no,furnished
0.7878787878787878,7500,3,3,2,yes,no,yes,no,1.0,yes,semi-furnished
0.7272727272727273,8580,4,3,2,yes,no,no,no,1.0,yes,semi-furnished
0.7272727272727273,16200,5,3,2,yes,no,no,no,0.0,no,unfurnished
0.703030303030303,8100,4,1,2,yes,yes,yes,no,1.0,yes,furnished
0.6969696969696969,5750,3,2,2,yes,yes,no,no,0.0,yes,unfurnished
0.6969696969696969,13200,3,1,2,yes,no,yes,no,1.0,yes,furnished
0.6866666666666666,6000,4,3,2,yes,yes,yes,yes,1.0,no,semi-furnished
0.6545454545454545,6550,4,2,2,yes,no,no,no,0.0,yes,semi-furnished
0.6484848484848484,3500,4,2,2,yes,no,no,yes,1.0,no,furnished
0.6484848484848484,7800,3,2,2,yes,no,no,no,0.0,yes,semi-furnished
0.6363636363636364,6000,4,1,2,yes,no,yes,no,1.0,no,semi-furnished
0.6363636363636364,6600,4,2,2,yes,yes,yes,no,0.0,yes,unfurnished
0.6242424242424243,8500,3,2,2,yes,no,no,no,1.0,no,furnished
0.6181818181818182,4600,3,2,2,yes,yes,no,no,1.0,no,furnished
0.6151515151515151,6420,3,2,2,yes,no,no,no,0.0,yes,semi-furnished
0.6060606060606061,4320,3,1,2,yes,no,yes,yes,1.0,no,semi-furnished
0.6,7155,3,2,2,yes,yes,yes,no,1.0,no,unfurnished
0.5969696969696969,8050,3,1,2,yes,yes,yes,no,0.0,no,furnished
0.5969696969696969,4560,3,2,2,yes,yes,yes,no,0.0,no,furnished
0.5909090909090909,8800,3,2,2,yes,no,no,no,1.0,no,furnished
0.5878787878787879,6540,4,2,2,yes,yes,yes,no,1.0,yes,furnished
0.5812121212121212,6000,3,2,2,yes,yes,yes,no,0.0,yes,semi-furnished
0.5757575757575758,8875,3,1,2,yes,no,no,no,0.0,no,semi-furnished
0.5757575757575758,7950,5,2,2,yes,no,yes,yes,1.0,no,unfurnished
0.5757575757575758,5500,4,2,2,yes,no,yes,no,0.0,yes,semi-furnished
0.5757575757575758,7475,3,2,2,yes,no,no,no,1.0,no,unfurnished
0.5757575757575758,7000,3,1,2,yes,no,no,no,1.0,no,semi-furnished
0.5666666666666667,4880,4,2,2,yes,no,no,no,0.0,yes,furnished
0.5575757575757576,5960,3,3,2,yes,yes,yes,no,0.0,no,unfurnished
0.5515151515151515,6840,5,1,2,yes,yes,yes,no,0.0,no,furnished
0.5481333333333334,7000,3,2,2,yes,no,no,no,1.0,no,furnished
0.5448484848484848,7482,3,2,2,yes,no,no,yes,0.0,yes,furnished
0.5393939393939394,9000,4,2,2,yes,no,no,no,1.0,no,furnished
0.5378787878787878,6000,3,1,2,yes,yes,no,no,1.0,no,unfurnished
0.5333333333333333,6000,4,2,2,yes,no,no,no,0.0,no,semi-furnished
0.5303030303030303,6550,3,1,2,yes,no,yes,no,0.0,yes,furnished
0.5272727272727272,6360,3,2,2,yes,no,no,no,0.0,yes,furnished
0.5151515151515151,6480,3,2,2,yes,no,no,no,1.0,no,unfurnished
0.5151515151515151,6000,4,2,2,yes,no,no,no,1.0,no,semi-furnished
0.503030303030303,6000,4,2,2,yes,no,no,no,0.0,no,furnished
0.503030303030303,6000,3,2,2,yes,no,no,no,0.0,no,semi-furnished
0.5,6000,3,2,2,yes,no,no,no,0.0,no,furnished
0.49696969696969695,6600,3,1,2,yes,no,no,no,1.0,yes,furnished
0.4939393939393939,4300,3,2,2,yes,no,yes,no,0.0,no,unfurnished
0.49090909090909085,7440,3,2,2,yes,yes,yes,no,0.0,yes,semi-furnished
0.49090909090909085,7440,3,2,2,yes,no,no,no,0.0,yes,unfurnished
0.49090909090909085,6325,3,1,2,yes,no,no,no,0.0,no,unfurnished
0.48484848484848486,6000,4,2,2,yes,yes,no,no,0.0,no,furnished
0.48484848484848486,5150,3,2,2,yes,no,no,no,1.0,no,semi-furnished
0.48484848484848486,6000,3,2,2,yes,yes,no,no,0.0,no,semi-furnished
0.48484848484848486,6000,3,1,2,yes,no,no,no,0.0,no,unfurnished
0.48424242424242425,11440,4,1,2,yes,no,yes,no,0.0,yes,semi-furnished
0.4757575757575757,9000,4,2,2,yes,yes,no,no,0.0,yes,furnished
0.4727272727272728,7680,4,2,2,yes,yes,no,no,0.0,no,semi-furnished
0.4727272727272728,6000,3,2,2,yes,yes,no,no,0.0,no,furnished
0.4666666666666667,6000,3,2,2,yes,yes,no,no,0.0,no,semi-furnished
0.4606060606060606,8880,2,1,2,yes,no,no,no,0.0,no,semi-furnished
0.4606060606060606,6240,4,2,2,yes,no,no,no,0.0,no,furnished
